L24 Pressure [Pa],L24 Altitude [km],L30 Pressure [Pa],L30 Altitude [km],L37 Pressure [Pa],L37 Altitude [km],L56 Pressure [Pa],L56 Altitude [km],,,,
0.011,110.7,0.035,99.0,0.005,118.6,0.003,122.6,,p_half at bottom:,705.00,Pa
0.13,85.9,0.11,87.4,0.016,106.9,0.01,108.5,,scale height:,10.00,km
0.31,77.2,0.36,75.8,0.03,99.4,0.04,97.9,,,,
0.63,70.2,1.00,65.6,0.06,93.1,0.08,91.0,,,,
1.20,63.8,2.45,56.6,0.12,87.0,0.13,85.8,,,,
2.20,57.7,5.25,49.0,0.21,81.1,0.22,80.9,,,,
3.99,51.7,9.79,42.8,0.38,75.3,0.35,76.2,,,,
6.88,46.3,15.9,37.9,0.66,69.8,0.55,71.6,,,,
11.4,41.2,24.1,33.7,1.12,64.5,0.84,67.3,,,,
18.9,36.2,36.5,29.6,1.87,59.3,1.27,63.2,,,,
31.2,31.2,54.3,25.6,3.08,54.3,1.89,59.2,,,,
51.5,26.2,78.9,21.9,4.98,49.5,2.76,55.4,,,,
84.9,21.2,111.2,18.5,7.88,44.9,3.96,51.8,,,,
140.0,16.2,151.5,15.4,12.2,40.6,5.59,48.4,,,,
221.4,11.6,198.8,12.7,18.6,36.4,7.74,45.1,,,,
316.9,8.0,251.3,10.3,27.7,32.4,10.5,42.0,,,,
407.1,5.5,306.1,8.3,40.4,28.6,14.1,39.1,,,,
485.8,3.7,360.2,6.7,57.9,25.0,18.6,36.3,,,,
545.3,2.6,411.0,5.4,81.3,21.6,24.2,33.7,,,,
580.8,1.94,456.3,4.4,112.0,18.4,30.9,31.3,,,,
598.4,1.64,495.0,3.5,151.4,15.4,39.0,29.0,,,,
605.1,1.53,526.7,2.9,198.7,12.7,48.5,26.8,,,,
608.5,1.47,551.8,2.5,251.1,10.3,59.6,24.7,,,,
,,571.0,2.1,305.9,8.4,72.3,22.8,,,,
,,585.2,1.86,360.0,6.7,86.6,21.0,,,,
,,595.6,1.69,410.7,5.4,102.7,19.3,,,,
,,602.9,1.56,456.0,4.4,120.4,17.7,,,,
,,606.7,1.50,494.7,3.5,139.7,16.2,,,,
,,608.5,1.47,526.4,2.9,160.5,14.8,,,,
,,609.7,1.45,551.4,2.5,182.7,13.5,,,,
,,,,570.6,2.1,206.1,12.3,,,,
,,,,584.9,1.87,230.6,11.2,,,,
,,,,595.2,1.69,255.8,10.1,,,,
,,,,602.7,1.57,281.6,9.2,,,,
,,,,606.7,1.50,307.8,8.3,,,,
,,,,608.5,1.47,334.0,7.5,,,,
,,,,609.7,1.45,360.1,6.7,,,,
,,,,,,385.7,6.0,,,,
,,,,,,410.6,5.4,,,,
,,,,,,434.6,4.8,,,,
,,,,,,457.4,4.3,,,,
,,,,,,479.0,3.9,,,,
,,,,,,499.1,3.5,,,,
,,,,,,517.5,3.1,,,,
,,,,,,534.3,2.8,,,,
,,,,,,549.3,2.5,,,,
,,,,,,562.5,2.3,,,,
,,,,,,573.9,2.1,,,,
,,,,,,583.5,1.89,,,,
,,,,,,591.4,1.76,,,,
,,,,,,597.7,1.65,,,,
,,,,,,602.5,1.57,,,,
,,,,,,605.9,1.52,,,,
,,,,,,608.1,1.48,,,,
,,,,,,609.3,1.46,,,,
,,,,,,609.9,1.45,,,,